artistName,kind,primaryGenreName,trackName
Baby Bash,song,Hip-Hop/Rap,Cyclone (feat. T-Pain)
Journey,song,Rock,Lights (2024 Remaster)
Carrie Underwood,song,Country,Two Black Cadillacs
Ed Sheeran,song,Pop,Thinking Out Loud
Kris Allen,song,Pop,Live Like We're Dying
Muse,song,Alternative,Madness
G-Eazy x Bebe Rexha,song,Hip-Hop/Rap,"Me, Myself & I"
Fifth Harmony,song,Pop,Work from Home (feat. Ty Dolla $ign)
Carrie Underwood,song,Country,Last Name
The Notorious B.I.G.,song,Hip-Hop/Rap,Hypnotize
"Cardi B, Bad Bunny & J Balvin",song,Hip-Hop/Rap,I Like It
Nickelback,song,Rock,Burn It to the Ground
Ylvis,song,Pop,The Fox (What Does the Fox Say?)
BOYS LIKE GIRLS,song,Alternative,Two Is Better Than One (feat. Taylor Swift)
Mike Posner,song,Pop,Please Don't Go
Bruno Mars,song,Pop,Gorilla
Sia,song,Pop,Elastic Heart
The Goo Goo Dolls,song,Rock,Iris
Arctic Monkeys,song,Alternative,Do I Wanna Know?
Nickelback,song,Rock,This Afternoon
Kelly Clarkson,song,Pop,Mr. Know It All
One Direction,song,Pop,Perfect
Rage Against the Machine,song,Hard Rock,Killing In the Name
Lil Jon & The East Side Boyz,song,Dirty South,Get Low (feat. Ying Yang Twins)
Carrie Underwood,song,Country,Just a Dream
Meghan Trainor,song,Pop,NO
Pitbull & Ne-Yo,song,Pop,Time of Our Lives
Metallica,song,Metal,Enter Sandman
Blake Shelton,song,Country,Mine Would Be You
Wyclef Jean,song,Hard Rock,"Sweetest Girl (Dollar Bill) [feat. Akon, Lil Wayne & Niia]"
Beyoncé,song,Pop,Haunted
Beyoncé,song,Pop,Blue (feat. Blue Ivy)
Calvin Harris & Rihanna,song,Dance,This Is What You Came For
Miranda Lambert,song,Country,Somethin' Bad (with Carrie Underwood)
Nickelback,song,Rock,Savin' Me
Beyoncé,song,Pop,Rocket
Michael Jackson,song,Pop,Black or White
Beyoncé,song,Pop,Blow
Jake Owen,song,Country,Barefoot Blue Jean Night
Britney Spears,song,Pop,If U Seek Amy
Jordin Sparks,song,Pop,One Step At a Time
The Ready Set,song,Pop,Love Like Woe
Beyoncé,song,Pop,Jealous
Blake Shelton,song,Country,Sure Be Cool If You Did
James Arthur,song,Pop,Say You Won't Let Go
Brett Eldredge,song,Country,Beat of the Music
Bebe Rexha & Florida Georgia Line,song,Pop,Meant to Be
Beyoncé,song,Pop,Heaven
David Cook,song,Pop,The Time of My Life
Gym Class Heroes,song,Pop,Ass Back Home (feat. Neon Hitch)
AC/DC,song,Rock,Thunderstruck
Carrie Underwood,song,Country,See You Again
The Veronicas,song,Pop,Untouched
Rodney Atkins,song,Country,Watching You
Trans-Siberian Orchestra,song,Holiday,Christmas / Sarajevo 12/24 (Instrumental)
Nickelback,song,Rock,If Everyone Cared
The Chainsmokers,song,Dance,Roses (feat. ROZES)
Beyoncé,song,Pop,Superpower (feat. Frank Ocean)
Bruno Mars,song,Pop,Just the Way You Are
Jake Owen,song,Country,Beachin'
Cascada,song,Dance,Everytime We Touch
Danity Kane,song,Pop,Damaged
Garrett Hedlund & Leighton Meester,song,Soundtrack,Give In to Me
Beyoncé,song,Pop,No Angel
Bruno Mars,song,Pop,Count on Me
The Script,song,Pop,The Man Who Can't Be Moved
Lil Nas X,song,Country,Old Town Road (feat. Billy Ray Cyrus)
Journey,song,Rock,Who's Crying Now (2024 Remaster)
Cobra Starship,song,Alternative,Good Girls Go Bad (feat. Leighton Meester)
Coldplay,song,Alternative,Magic
Sara Bareilles,song,Singer/Songwriter,Gravity
Loren Allred,song,Soundtrack,Never Enough
BOYS LIKE GIRLS,song,Alternative,Love Drunk
John Mayer,song,Rock,Heartbreak Warfare
Bruno Mars,song,Pop,Young Girls
Billy Joel,song,Rock,We Didn't Start the Fire
Third Eye Blind,song,Alternative,Jumper
3OH!3,song,Alternative,Starstrukk
Michael Jackson,song,Pop,Bad
Zac Efron & Zendaya,song,Soundtrack,Rewrite the Stars
Mariah Carey,song,Christmas: Pop,All I Want for Christmas Is You
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",song,Soundtrack,The Greatest Show
Kenny Loggins,song,Soundtrack,Footloose
One Direction,song,Pop,Live While We're Young
Madonna,song,Pop,Music
P!nk,song,Pop,So What
Justin Timberlake,song,Pop,Rock Your Body
Lupe Fiasco,song,Hip-Hop/Rap,Superstar (feat. Matthew Santos)
Modest Mouse,song,Alternative,Float On
One Direction,song,Pop,Little Things
GROUPLOVE,song,Alternative,Tongue Tied
Michael Cera & Elliot Page,song,Soundtrack,Anyone Else But You
Ed Sheeran,song,Pop,Give Me Love
Europe,song,Hard Rock,The Final Countdown
Survivor,song,Rock,Eye of the Tiger
Meghan Trainor,song,Pop,Me Too
Kid Ink,song,Hip-Hop/Rap,Show Me (feat. Chris Brown)
Becky G,song,Pop,Shower
Fetty Wap,song,Hip-Hop/Rap,679 (feat. Monty)
Carrie Underwood,song,Country,Temporary Home
Journey,song,Rock,Only the Young (2024 Remaster)
Wiz Khalifa,song,Hip-Hop/Rap,Black and Yellow
Martin Solveig & Dragonette,song,Dance,Hello
Nickelback,song,Rock,How You Remind Me
Karmin,song,Pop,Brokenhearted
Nickelback,song,Rock,Never Gonna Be Alone
Tim McGraw,song,Country,If You're Reading This
John Mayer,song,Pop,Slow Dancing in a Burning Room
Panic! At the Disco,song,Alternative,Nine In the Afternoon
Coldplay,song,Alternative,Adventure of a Lifetime
One Direction,song,Pop,Drag Me Down
Britney Spears,song,Pop,Toxic
Kenny Chesney,song,Country,Come Over
Michael Jackson,song,Pop,Rock With You
The Temper Trap,song,Alternative,Sweet Disposition
One Direction,song,Pop,"Best Song Ever (from ""This Is Us"")"
"Ziv Zaifman, Hugh Jackman & Michelle Williams",song,Soundtrack,A Million Dreams
John Legend,song,Soundtrack,Tonight (Best You Ever Had) [feat. Ludacris]
Ram Jam,song,Rock,Black Betty
The Notorious B.I.G.,song,Hip-Hop/Rap,Juicy (2005 Remaster)
P!nk,song,Pop,Glitter In the Air
LINKIN PARK,song,Hard Rock,BURN IT DOWN
Jason Derulo,song,Pop,Talk Dirty (feat. 2 Chainz)
Ruth B.,song,Singer/Songwriter,Lost Boy
"Hank Williams, Jr.",song,Country,A Country Boy Can Survive
Daughtry,song,Rock,Life After You
Portugal. The Man,song,Alternative,Feel It Still
Lee Brice,song,Country,I Drive Your Truck
Daft Punk,song,Pop,Give Life Back to Music
J. Dash,song,Hip-Hop/Rap,Wop (Official Version)
One Direction,song,Pop,You & I
